TAXID,Command,Ethnicity
975562,071 PRECINCT,ASIAN
960132,120 PRECINCT,WHITE
954460,TRANSIT DISTRICT 2,HISPANIC
964361,PUBLIC SECURITY SECTION,ASIAN
971784,STRATEGIC RESP GRP 2 BRONX,WHITE
981002,RTS RECRUITS,HISPANIC
954463,HOUSING PSA 4,BLACK
979015,115 PRECINCT,BLACK
966922,115 PRECINCT,HISPANIC
962199,033 PRECINCT,HISPANIC
958218,HOUSING PSA 1,WHITE
968919,050 PRECINCT,HISPANIC
973881,010 PRECINCT,HISPANIC
977460,120 PRECINCT,HISPANIC
982078,RTS RECRUITS,HISPANIC
964354,COD QUALITY OF LIFE DIVISION,HISPANIC
941309,TRANSIT DISTRICT 12,HISPANIC
954464,075 PRECINCT,HISPANIC
949972,IAB INVESTIGATIONS UNIT 10,HISPANIC
971302,046 PRECINCT,BLACK
945457,NARC BORO QUEENS NORTH,WHITE
941319,042 PRECINCT,HISPANIC
954452,HOUSING PSA 3,ASIAN
963837,044 PRECINCT,HISPANIC
951481,006 PRECINCT,HISPANIC
975945,001 PRECINCT,HISPANIC
969457,009 PRECINCT,HISPANIC
974410,046 PRECINCT,HISPANIC
979021,088 PRECINCT,BLACK
973879,067 PRECINCT,ASIAN
944306,107 PRECINCT,BLACK
962930,QUARTERMASTER SECTION,BLACK
937934,100 PCT ROCKAWAY BEACH DETAIL,HISPANIC
933590,083 DET SQUAD,HISPANIC
929653,PATROL SERVICES BUREAU WHEEL,BLACK
947964,CT OPERATIONAL SUPPORT SECTION,WHITE
941494,PATROL BORO BRONX,HISPANIC
967740,108TH DET SQUAD,HISPANIC
938882,BRONX COURT SECTION,HISPANIC
942930,IAB INVESTIGATIONS UNIT 31,HISPANIC
947702,MEDICAL DIVISION,HISPANIC
977459,084 PRECINCT,ASIAN
957311,PBSI FERRY SECURITY UNIT,ASIAN
961595,043 PRECINCT,ASIAN
970961,034 PRECINCT,HISPANIC
966418,043 PRECINCT,HISPANIC
962200,INTELLIGENCE DIVISION,HISPANIC
969447,HOUSING PSA 9,HISPANIC
965643,102 PRECINCT,WHITE
934372,PBSI COMMUNITY AFFAIRS SECTION,HISPANIC
980999,RTS RECRUITS,ASIAN
965917,115 PRECINCT,HISPANIC
941318,068 DET SQUAD,HISPANIC
947701,043 PRECINCT,HISPANIC
981003,RTS RECRUITS,HISPANIC
949968,049 DET SQUAD,HISPANIC
977716,MILITARY & EXTENDED LEAVE DESK,BLACK
970965,044 PRECINCT,HISPANIC
973889,HEALTH & WELLNESS SECTION,HISPANIC
978347,HOUSING PSA 5,HISPANIC
979675,024 PRECINCT,HISPANIC
973880,024 PRECINCT,WHITE
982072,RTS RECRUITS,ASIAN
942924,081 PRECINCT,ASIAN
941320,TRANSIT DISTRICT 33,ASIAN
982758,RTS RECRUITS,WHITE
952382,PATROL BORO MAN NORTH,HISPANIC
973196,044 PRECINCT,HISPANIC
961593,QUEENS COURT SECTION,HISPANIC
980287,042 PRECINCT,HISPANIC
979670,042 PRECINCT,WHITE
973192,072 PRECINCT,ASIAN
949971,DEPT OF INVESTIGATION SQUAD,WHITE
948582,PATROL BORO MAN NORTH,BLACK
940948,LEGAL BUREAU,WHITE
970966,040 PRECINCT,BLACK
970959,014 PCT-MIDTOWN SO. PCT,BLACK
964861,TRANSIT DISTRICT 33,HISPANIC
965644,HOUSING PSA 4,WHITE
980341,HOUSING PSA 5,ASIAN
978342,083 PRECINCT,WHITE
975943,120 PRECINCT,WHITE
949954,019 PRECINCT,BLACK
976566,044 PRECINCT,HISPANIC
953614,INTERNAL AFFAIRS BUREAU,WHITE
968211,014 PCT-MIDTOWN SO. PCT,WHITE
981010,RTS RECRUITS,ASIAN
963835,HIGHWAY UNIT 1,HISPANIC
889471,POLICE COMMISSIONER,WHITE
969452,TRANSIT DISTRICT 20,HISPANIC
944303,109 PRECINCT,HISPANIC
934818,INTERNAL AFFAIRS BUREAU,WHITE
972495,090 PRECINCT,HISPANIC
973884,TB TRAIN PATROL FORCE,HISPANIC
979671,TRANSIT DISTRICT 3,ASIAN
978848,MILITARY & EXTENDED LEAVE DESK,WHITE
952380,120 PRECINCT,WHITE
952388,INTERNAL AFFAIRS BUREAU,ASIAN
977711,047 PRECINCT,HISPANIC
949957,CEIS MAJOR INVESTIGATION SQUAD,WHITE
949964,062 PRECINCT,HISPANIC
939839,062 PRECINCT,WHITE
961591,070 PRECINCT,WHITE
949958,POLICE ACADEMY,HISPANIC
945454,071 PRECINCT,HISPANIC
967407,048 PRECINCT,ASIAN
960117,083 PRECINCT,BLACK
973882,120 PRECINCT,WHITE
944259,DBBX EVIDENCE COLLECTION TEAM,HISPANIC
952379,CRIMINAL INTELLIGENCE SECTION,WHITE
953620,014 PCT-MIDTOWN SO. PCT,WHITE
963354,107 PRECINCT,WHITE
941303,CRIME PREVENTION DIVISION,ASIAN
962910,094 PRECINCT,ASIAN
952386,028 PRECINCT,HISPANIC
924858,NARC BORO MANHATTAN SOUTH,BLACK
963355,NARC BORO BRONX,HISPANIC
939841,TRAFFIC ENFORCEMENT DISTRICT,HISPANIC
982079,RTS RECRUITS,ASIAN
941313,CRIME PREVENTION DIVISION,HISPANIC
889483,PBBS COMMUNITY AFFAIRS SECTION,WHITE
973048,079 PRECINCT,WHITE
968207,045 PRECINCT,ASIAN
941312,QUALITY ASSURANCE SECTION,HISPANIC
963828,MANAGEMENT ANALYSIS SECTION,WHITE
942923,NARC BORO MANHATTAN SOUTH,BLACK
954461,INTEL CIS FIO PROGRAM,HISPANIC
942890,POLICE COMMISSIONER,BLACK
941301,078 PRECINCT,WHITE
974699,043 PRECINCT,HISPANIC
968912,094 PRECINCT,HISPANIC
927886,STRATEGIC RESP GRP 2 BRONX,HISPANIC
971299,109 PRECINCT,WHITE
924857,CRIMINAL INTELLIGENCE SECTION,WHITE
951482,094 PRECINCT,ASIAN
963831,061 PRECINCT,WHITE
974832,BROOKLYN COURT SECTION,HISPANIC
955703,071 PRECINCT,WHITE
968918,PBMS COMMUNITY RESPONSE TEAM,ASIAN
979016,115 PRECINCT,BLACK
962195,114 PRECINCT,WHITE
969456,HOUSING PSA 9,BLACK
979668,MILITARY & EXTENDED LEAVE DESK,WHITE
936089,INFORMATION SECURITY OFFICE,ASIAN
981001,RTS RECRUITS,ASIAN
980343,RTS RECRUITS,ASIAN
943037,HIGHWAY UNIT 1,HISPANIC
949949,CCRB LIAISON UNIT,ASIAN
964860,075 PRECINCT,HISPANIC
948581,PUBLIC SECURITY SECTION,BLACK
981011,RTS RECRUITS,WHITE
964357,024 PRECINCT,HISPANIC
958220,GVSD Z1 VIOLENCE RED T/F,HISPANIC
970960,018 PCT-MIDTOWN NO. PCT,ASIAN
961590,043 PRECINCT,WHITE
973197,113 PRECINCT,HISPANIC
968210,050 PRECINCT,WHITE
948593,010 DET SQUAD,WHITE
975306,090 PRECINCT,BLACK
966921,042 PRECINCT,WHITE
957315,WARRANT SECTION,WHITE
955702,QUEENS ADULT SEX CRIMES SQUAD,WHITE
971776,068 PRECINCT,HISPANIC
975947,044 PRECINCT,HISPANIC
942925,FORCE INVESTIGATION DIVISION,ASIAN
954454,EXECUTIVE PROTECTION UNIT,HISPANIC
964858,PBMN PUBLIC SAFETY TEAMS,HISPANIC
971777,101 PRECINCT,ASIAN
936966,DET BORO QUEENS NORTH,HISPANIC
980288,070 PRECINCT,ASIAN
979018,050 PRECINCT,HISPANIC
977012,MANHATTAN COURT SECTION,HISPANIC
937932,108 PRECINCT,ASIAN
977013,HOUSING PSA 5,HISPANIC
975307,TRANSIT DISTRICT 2,WHITE
945448,OPERATIONS & ANALYSIS SECTION,WHITE
959434,WARRANT SECTION,WHITE
962913,INTEL CIS FIO PROGRAM,WHITE
963364,SCHOOL SAFETY DIVISION,WHITE
967741,061 PRECINCT,ASIAN
941317,BROOKLYN CHILD ABUSE SQUAD,WHITE
929591,DET BORO QNS NORTH HOMICIDE SQ,WHITE
969453,QUEENS CHILD ABUSE SQUAD,HISPANIC
933593,084 PRECINCT,HISPANIC
975316,075 PRECINCT,ASIAN
978847,061 PRECINCT,WHITE
965131,MILITARY & EXTENDED LEAVE DESK,ASIAN
975948,103 PRECINCT,WHITE
970371,081 PRECINCT,ASIAN
955072,075 PRECINCT,HISPANIC
945458,TRANSIT BUREAU,WHITE
965921,TRN BUR CMD LVL TRAINING UNIT,ASIAN
979017,061 PRECINCT,WHITE
926477,SVU NYPD/HL SEC SEX TRAF TF,WHITE
975949,104 PRECINCT,ASIAN
946717,HOUSING PSA 2,BLACK
953619,MANHATTAN COURT SECTION,BLACK
924841,062 PRECINCT,WHITE
943994,OFFICE OF THE DEP COMM TRIALS,BLACK
973195,125 STREET TASK FORCE,HISPANIC
919974,TB ANTI TERRORISM UNIT,BLACK
975309,060 PCT CONEY ISLAND DETAIL,HISPANIC
969455,026 PRECINCT,WHITE
960120,HIGHWAY UNIT 5,ASIAN
968911,044 PRECINCT,HISPANIC
967406,088 PRECINCT,HISPANIC
982070,RTS RECRUITS,ASIAN
947703,INTERNAL AFFAIRS BUREAU,BLACK
959441,062 PRECINCT,WHITE
968208,071 PRECINCT,HISPANIC
980289,115 PRECINCT,HISPANIC
979667,042 PRECINCT,WHITE
923946,CRIMINAL ENTERPRISE INVEST SEC,HISPANIC
958211,INTEL CIS FIO PROGRAM,ASIAN
982076,RTS RECRUITS,ASIAN
960119,072 PRECINCT,WHITE
975942,121 PRECINCT,WHITE
937936,HB BRONX/QUEENS RESPONSE TEAM,HISPANIC
973887,MILITARY & EXTENDED LEAVE DESK,HISPANIC
944301,115 PRECINCT,ASIAN
960121,122 DETECTIVE SQUAD,HISPANIC
981015,RTS RECRUITS,ASIAN
958212,LEGAL BUREAU,BLACK
975905,018 PCT-MIDTOWN NO. PCT,HISPANIC
939846,PUBLIC SECURITY SECTION,WHITE
982077,RTS RECRUITS,BLACK
965915,HOUSING PSA 3,WHITE
975313,032 PRECINCT,HISPANIC
975308,009 PRECINCT,WHITE
949950,NARC BORO QUEENS SOUTH,BLACK
932238,046 PRECINCT,BLACK
979676,018 PCT-MIDTOWN NO. PCT,ASIAN
914653,NARC BORO BROOKLYN SOUTH,WHITE
967736,PBSI FERRY SECURITY UNIT,WHITE
937942,NARC BORO BROOKLYN SOUTH,BLACK
973201,043 PRECINCT,ASIAN
957312,CITYWIDE TRAFFIC TF,ASIAN
979666,071 PRECINCT,BLACK
970366,033 PRECINCT,HISPANIC
943995,MANHATTAN COURT SECTION,BLACK
976568,050 PRECINCT,ASIAN
971778,TRANSIT DISTRICT 4,ASIAN
960116,068 PRECINCT,WHITE
978346,048 PRECINCT,BLACK
967737,MILITARY & EXTENDED LEAVE DESK,BLACK
980347,HOUSING PSA 5,ASIAN
939848,060 PRECINCT,ASIAN
952381,067 PRECINCT,HISPANIC
946662,SVU NYPD/HL SEC SEX TRAF TF,BLACK
976924,017 PRECINCT,ASIAN
941549,TRANSIT DISTRICT 11,HISPANIC
973204,TRANSIT DISTRICT 4,ASIAN
958223,TRANSIT DISTRICT 4,ASIAN
975318,TRANSIT DISTRICT 2,BLACK
981009,RTS RECRUITS,BLACK
959438,043 PRECINCT,HISPANIC
964866,115 PRECINCT,WHITE
975946,040 PRECINCT,HISPANIC
977715,046 PRECINCT,BLACK
969461,071 PRECINCT,ASIAN
957319,114 PRECINCT,ASIAN
956370,CRITICAL RESPONSE COMMAND,HISPANIC
976923,HOUSING PSA 8,ASIAN
964864,TRANSIT DISTRICT 20,ASIAN
977018,TRANSIT DISTRICT 2,ASIAN
965919,047 PRECINCT,HISPANIC
965918,019 DET SQUAD,HISPANIC
973198,125 STREET TASK FORCE,HISPANIC
966420,007 PRECINCT,ASIAN
948173,HOUSING PSA 9,HISPANIC
982759,RTS RECRUITS,HISPANIC
968213,028 PRECINCT,ASIAN
962914,NARC BORO BROOKLYN NORTH,ASIAN
980346,HOUSING PSA 5,ASIAN
972492,070 PRECINCT,ASIAN
973893,071 PRECINCT,ASIAN
975310,044 PRECINCT,HISPANIC
941300,STRATEGIC RESP GRP 1 MANHATTAN,HISPANIC
974705,046 PRECINCT,ASIAN
975319,109 PRECINCT,ASIAN
958224,005 PRECINCT,ASIAN
970962,PBBX COMMUNITY AFFAIRS SECTION,HISPANIC
948585,079 PRECINCT,HISPANIC
941328,QS CRIME ANALYSIS UNIT,WHITE
959433,047 PRECINCT,WHITE
934975,IAB ZONE 5,HISPANIC
954468,081 PRECINCT,ASIAN
977719,TRANSIT DISTRICT 20,ASIAN
971304,TRANSIT DISTRICT 4,WHITE
948457,090 PRECINCT,ASIAN
961486,PBMS COMMUNITY AFFAIRS SECTION,BLACK
963356,070 PRECINCT,HISPANIC
975305,067 PRECINCT,BLACK
973202,049 PRECINCT,ASIAN
952389,CANDIDATE ASSESSMENT DIVISION,ASIAN
964862,INTEL CIS FIO PROGRAM,HISPANIC
934364,047 PRECINCT,HISPANIC
966925,TRANSIT DISTRICT 11,HISPANIC
977020,018 PCT-MIDTOWN NO. PCT,ASIAN
972331,019 PRECINCT,HISPANIC
965648,TRANSIT DISTRICT 3,ASIAN
979672,115 PRECINCT,HISPANIC
967408,ORCHARD BEACH DETAIL,ASIAN
978344,TRANSIT DISTRICT 34,HISPANIC
970372,077 PRECINCT,ASIAN
977712,TRANSIT DISTRICT 20,HISPANIC
975950,067 PRECINCT,ASIAN
970373,TRANSIT DISTRICT 12,ASIAN
956372,116 PRECINCT,WHITE
967409,HOUSING PSA 3,WHITE
964865,WARRANT SECTION,ASIAN
970968,076 PRECINCT,ASIAN
974706,066 PRECINCT,WHITE
977720,TRANSIT DISTRICT 4,ASIAN
970374,MILITARY & EXTENDED LEAVE DESK,ASIAN
934693,034 PRECINCT,ASIAN
948594,042 PRECINCT,ASIAN
974679,083 PRECINCT,BLACK
977021,TRANSIT DISTRICT 4,ASIAN
954469,112 PRECINCT,WHITE
975951,072 PRECINCT,ASIAN
968921,072 DET SQUAD,WHITE
973894,TIMES SQUARE UNIT,BLACK
961487,050 PRECINCT,BLACK
946722,CEIS MONEY LAUNDERING UNIT,WHITE
968215,GRANTS UNIT,WHITE
961187,CHARACTER ASSESSMENT SECTION,BLACK
954470,073 PRECINCT,BLACK
959447,MANHATTAN NORTH VICE MODULE,WHITE
941325,073 DET SQUAD,BLACK
966421,TRANSIT DISTRICT 1,BLACK
960135,121 PRECINCT,WHITE
982084,RTS RECRUITS,WHITE
949974,PUBLIC SECURITY SECTION,WHITE
962203,TRANSIT DISTRICT 30,WHITE
970375,045 PRECINCT,BLACK
934375,OFFICE OF EQUAL EMPLOYMENT OPPORTUNITY,WHITE
967411,TRANSIT DISTRICT 12,BLACK
910594,TRANSIT BORO MAN TASK FORCE,BLACK
941326,DRUG ENFORCEMENT TASK FORCE,BLACK
942931,HOUSING PSA 9,BLACK
982085,RTS RECRUITS,BLACK
939850,079 PRECINCT,HISPANIC
946724,EMERGENCY SERVICE UNIT,ASIAN
937952,070 DET SQUAD,ASIAN
949975,TRANSIT BUREAU,ASIAN
962204,MILITARY & EXTENDED LEAVE DESK,WHITE
976925,HOUSING PSA 8,ASIAN
951469,NARC BORO BROOKLYN SOUTH,ASIAN
951483,HOUSING PSA 1,ASIAN
936106,TRANSIT DISTRICT 23,ASIAN
963840,063 PRECINCT,WHITE
973895,047 PRECINCT,ASIAN
958226,071 PRECINCT,ASIAN
929498,041 DET SQUAD,BLACK
982086,RTS RECRUITS,ASIAN
971790,TRANSIT DISTRICT 1,BLACK
934376,HOUSING COMMUNITY AFFAIRS SECT,BLACK
943809,TRANSIT DISTRICT 20,ASIAN
962915,018 PCT-MIDTOWN NO. PCT,ASIAN
968923,109 PRECINCT,WHITE
944308,NARC BORO BROOKLYN NORTH,WHITE
972433,083 PRECINCT,ASIAN
981017,RTS RECRUITS,BLACK
980348,073 PRECINCT,ASIAN
978352,TRANSIT DISTRICT 20,ASIAN
977722,TRANSIT DISTRICT 33,ASIAN
962206,TRANSIT DISTRICT 4,ASIAN
966929,PSA 2 VIPER 2,ASIAN
964868,HOUSING PSA 4,ASIAN
960140,TB ANTI TERRORISM 3,ASIAN
982088,RTS RECRUITS,ASIAN
979677,TRANSIT DISTRICT 34,ASIAN
946723,070 DET SQUAD,WHITE
973896,HOUSING PSA 2,WHITE
956373,103 PRECINCT,WHITE
945462,INTERNAL AFFAIRS BUREAU,BLACK
979678,025 PRECINCT,ASIAN
941329,109 PRECINCT,ASIAN
970376,TRANSIT DISTRICT 3,ASIAN
958210,CRIMINAL INTELLIGENCE SECTION,ASIAN
977022,105 PRECINCT,WHITE
948297,045 PRECINCT,ASIAN
974707,108 PRECINCT,ASIAN
975320,MILITARY & EXTENDED LEAVE DESK,ASIAN
967484,TRANSIT DISTRICT 34,ASIAN
961603,TRANSIT DISTRICT 32,ASIAN
967412,TRANSIT DISTRICT 33,ASIAN
965649,081 PRECINCT,ASIAN
973205,094 PRECINCT,ASIAN
971792,014 PCT-MIDTOWN SO. PCT,ASIAN
936107,TRANSIT DISTRICT 20,BLACK
978353,TRANSIT DISTRICT 23,ASIAN
961605,TB ANTI TERRORISM 3,ASIAN
969468,102ND DET SQUAD,ASIAN
973898,TRANSIT DISTRICT 20,ASIAN
964869,TRANSIT DISTRICT 11,ASIAN
969467,TRANSIT DISTRICT 30,ASIAN
963841,023 PRECINCT,ASIAN
935427,SIB OFF OF STRATEGY & INNOV,WHITE
967743,MANHATTAN COURT SECTION,ASIAN
977023,HOUSING PSA 1,ASIAN
962207,032 PRECINCT,ASIAN
961604,MILITARY & EXTENDED LEAVE DESK,ASIAN
967413,HOUSING PSA 2,ASIAN
968216,HOUSING PSA 4,ASIAN
982089,RTS RECRUITS,BLACK
978850,TRANSIT DISTRICT 23,BLACK
972501,073 PRECINCT,HISPANIC
978354,081 PRECINCT,WHITE
951484,NARC BORO STATEN ISLAND,HISPANIC
963359,084 PRECINCT,ASIAN
962916,010 PRECINCT,WHITE
953623,HOUSING PSA 2,ASIAN
977024,067 PRECINCT,ASIAN
981019,RTS RECRUITS,ASIAN
937953,MANHATTAN COURT SECTION,BLACK
977025,HOUSING PSA 5,HISPANIC
